timestamp,dose_uSv,raw
2026-03-20T07:29:47+00:00,1.342,1342
2026-03-20T07:35:07+00:00,1.344,1344
2026-03-20T07:40:27+00:00,1.346,1346
2026-03-20T07:45:47+00:00,1.348,1348
2026-03-20T07:53:15+00:00,1.35,1350
2026-03-20T07:58:35+00:00,1.352,1352
2026-03-20T08:03:55+00:00,1.354,1354
2026-03-20T08:09:15+00:00,1.356,1356
2026-03-20T08:14:35+00:00,1.358,1358
2026-03-20T08:19:55+00:00,1.36,1360
2026-03-20T08:27:23+00:00,1.362,1362
2026-03-20T08:32:43+00:00,1.364,1364
2026-03-20T08:38:03+00:00,1.366,1366
2026-03-20T08:43:23+00:00,1.368,1368
2026-03-20T08:48:43+00:00,1.37,1370
2026-03-20T08:54:03+00:00,1.372,1372
2026-03-20T09:01:31+00:00,1.374,1374
2026-03-20T09:06:51+00:00,1.376,1376
2026-03-20T09:12:11+00:00,1.378,1378
2026-03-20T09:17:31+00:00,1.38,1380
2026-03-20T09:22:51+00:00,1.381,1381
2026-03-20T09:28:11+00:00,1.383,1383
2026-03-20T14:08:43+00:00,1.385,1385
2026-03-20T14:14:03+00:00,1.387,1387
2026-03-20T14:19:23+00:00,1.389,1389
2026-03-20T14:24:43+00:00,1.391,1391
2026-03-20T14:30:03+00:00,1.393,1393
2026-03-20T14:35:23+00:00,1.395,1395
2026-03-20T14:42:51+00:00,1.397,1397
2026-03-20T14:48:11+00:00,1.399,1399
2026-03-20T14:53:31+00:00,1.401,1401
2026-03-20T14:58:51+00:00,1.403,1403
2026-03-20T15:04:11+00:00,1.405,1405
2026-03-20T15:09:31+00:00,1.407,1407
2026-03-20T15:17:31+00:00,1.409,1409
2026-03-20T15:22:51+00:00,1.411,1411
2026-03-20T15:28:11+00:00,1.413,1413
2026-03-20T15:33:31+00:00,1.415,1415
2026-03-20T15:38:51+00:00,1.417,1417
2026-03-20T15:44:11+00:00,1.419,1419
2026-03-20T15:51:39+00:00,1.421,1421
2026-03-20T15:56:59+00:00,1.422,1422
2026-03-20T16:02:19+00:00,1.425,1425
2026-03-20T16:07:39+00:00,1.427,1427
2026-03-20T16:12:59+00:00,1.428,1428
2026-03-20T16:18:19+00:00,1.43,1430
2026-03-20T16:25:47+00:00,1.432,1432
2026-03-20T16:31:07+00:00,1.434,1434
2026-03-20T16:36:27+00:00,1.436,1436
2026-03-20T16:41:47+00:00,1.438,1438
2026-03-20T16:47:07+00:00,1.44,1440
