timestamp,elapsed_s,dose_rate_uSvh,raw
2026-03-24T21:19:08+00:00,0,0.12,12
2026-03-24T21:19:09+00:00,1,0.12,12
2026-03-24T21:19:12+00:00,4,0.11,11
2026-03-24T21:19:13+00:00,5,0.11,11
2026-03-24T21:19:14+00:00,6,0.11,11
2026-03-24T21:19:15+00:00,7,0.11,11
2026-03-24T21:19:16+00:00,8,0.11,11
2026-03-24T21:19:17+00:00,9,0.11,11
2026-03-24T21:19:18+00:00,10,0.11,11
2026-03-24T21:19:19+00:00,11,0.11,11
2026-03-24T21:19:20+00:00,12,0.11,11
2026-03-24T21:19:21+00:00,13,0.11,11
2026-03-24T21:19:22+00:00,14,0.11,11
2026-03-24T21:19:23+00:00,15,0.11,11
2026-03-24T21:19:24+00:00,16,0.11,11
2026-03-24T21:19:25+00:00,17,0.11,11
2026-03-24T21:19:26+00:00,18,0.11,11
2026-03-24T21:19:27+00:00,19,0.11,11
2026-03-24T21:19:28+00:00,20,0.1,10
2026-03-24T21:19:29+00:00,21,0.1,10
2026-03-24T21:19:30+00:00,22,0.1,10
2026-03-24T21:19:31+00:00,23,0.09,9
2026-03-24T21:19:32+00:00,24,0.09,9
2026-03-24T21:19:33+00:00,25,0.09,9
2026-03-24T21:19:34+00:00,26,0.08,8
2026-03-24T21:19:35+00:00,27,0.08,8
2026-03-24T21:19:36+00:00,28,0.08,8
2026-03-24T21:19:37+00:00,29,0.08,8
2026-03-24T21:19:38+00:00,30,0.07,7
2026-03-24T21:19:39+00:00,31,0.07,7
2026-03-24T21:19:40+00:00,32,0.08,8
2026-03-24T21:19:41+00:00,33,0.08,8
2026-03-24T21:19:44+00:00,36,0.08,8
2026-03-24T21:19:45+00:00,37,0.1,10
2026-03-24T21:19:46+00:00,38,0.11,11
2026-03-24T21:19:47+00:00,39,0.11,11
2026-03-24T21:19:48+00:00,40,0.13,13
2026-03-24T21:19:49+00:00,41,0.14,14
2026-03-24T21:19:50+00:00,42,0.14,14
2026-03-24T21:19:51+00:00,43,0.13,13
2026-03-24T21:19:52+00:00,44,0.13,13
2026-03-24T21:19:53+00:00,45,0.12,12
2026-03-24T21:19:54+00:00,46,0.11,11
2026-03-24T21:19:55+00:00,47,0.09,9
2026-03-24T21:19:56+00:00,48,0.08,8
2026-03-24T21:19:57+00:00,49,0.06,6
2026-03-24T21:19:58+00:00,50,0.05,5
2026-03-24T21:19:59+00:00,51,0.03,3
2026-03-24T21:20:00+00:00,52,0.03,3
2026-03-24T21:20:01+00:00,53,0.03,3
2026-03-24T21:20:02+00:00,54,0.03,3
2026-03-24T21:20:03+00:00,55,0.04,4
2026-03-24T21:20:04+00:00,56,0.05,5
2026-03-24T21:20:05+00:00,57,0.06,6
2026-03-24T21:20:06+00:00,58,0.07,7
2026-03-24T21:20:07+00:00,59,0.08,8
2026-03-24T21:20:08+00:00,60,0.08,8
2026-03-24T21:20:09+00:00,61,0.08,8
2026-03-24T21:20:10+00:00,62,0.08,8
2026-03-24T21:20:11+00:00,63,0.09,9
2026-03-24T21:20:12+00:00,64,0.1,10
2026-03-24T21:20:13+00:00,65,0.1,10
2026-03-24T21:20:16+00:00,68,0.1,10
2026-03-24T21:20:17+00:00,69,0.1,10
2026-03-24T21:20:18+00:00,70,0.09,9
2026-03-24T21:20:19+00:00,71,0.09,9
2026-03-24T21:20:20+00:00,72,0.09,9
2026-03-24T21:20:21+00:00,73,0.09,9
2026-03-24T21:20:22+00:00,74,0.09,9
2026-03-24T21:20:23+00:00,75,0.09,9
2026-03-24T21:20:24+00:00,76,0.08,8
2026-03-24T21:20:25+00:00,77,0.08,8
2026-03-24T21:20:26+00:00,78,0.07,7
2026-03-24T21:20:27+00:00,79,0.07,7
2026-03-24T21:20:28+00:00,80,0.07,7
2026-03-24T21:20:29+00:00,81,0.08,8
2026-03-24T21:20:30+00:00,82,0.09,9
2026-03-24T21:20:31+00:00,83,0.1,10
2026-03-24T21:20:32+00:00,84,0.11,11
2026-03-24T21:20:33+00:00,85,0.12,12
2026-03-24T21:20:34+00:00,86,0.12,12
2026-03-24T21:20:35+00:00,87,0.13,13
2026-03-24T21:20:36+00:00,88,0.13,13
2026-03-24T21:20:37+00:00,89,0.13,13
2026-03-24T21:20:38+00:00,90,0.13,13
2026-03-24T21:20:39+00:00,91,0.13,13
2026-03-24T21:20:40+00:00,92,0.12,12
2026-03-24T21:20:41+00:00,93,0.11,11
2026-03-24T21:20:42+00:00,94,0.11,11
2026-03-24T21:20:43+00:00,95,0.1,10
2026-03-24T21:20:44+00:00,96,0.1,10
2026-03-24T21:20:45+00:00,97,0.09,9
2026-03-24T21:22:56+00:00,228,0.1,10
2026-03-24T21:22:57+00:00,229,0.1,10
2026-03-24T21:22:58+00:00,230,0.1,10
2026-03-24T21:22:59+00:00,231,0.09,9
2026-03-24T21:23:00+00:00,232,0.08,8
2026-03-24T21:23:01+00:00,233,0.08,8
2026-03-24T21:23:02+00:00,234,0.07,7
2026-03-24T21:23:03+00:00,235,0.07,7
2026-03-24T21:23:04+00:00,236,0.09,9
2026-03-24T21:23:05+00:00,237,0.11,11
2026-03-24T21:23:06+00:00,238,0.11,11
2026-03-24T21:23:07+00:00,239,0.14,14
2026-03-24T21:23:08+00:00,240,0.14,14
2026-03-24T21:23:09+00:00,241,0.15,15
2026-03-24T21:23:10+00:00,242,0.16,16
2026-03-24T21:23:11+00:00,243,0.18,18
2026-03-24T21:23:12+00:00,244,0.2,20
2026-03-24T21:23:13+00:00,245,0.2,20
2026-03-24T21:23:14+00:00,246,0.2,20
2026-03-24T21:23:15+00:00,247,0.19,19
2026-03-24T21:23:16+00:00,248,0.16,16
2026-03-24T21:23:17+00:00,249,0.15,15
2026-03-24T21:23:18+00:00,250,0.15,15
2026-03-24T21:23:19+00:00,251,0.16,16
2026-03-24T21:23:20+00:00,252,0.17,17
2026-03-24T21:23:21+00:00,253,0.16,16
2026-03-24T21:23:22+00:00,254,0.15,15
2026-03-24T21:23:23+00:00,255,0.14,14
2026-03-24T21:23:24+00:00,256,0.14,14
2026-03-24T21:23:25+00:00,257,0.14,14
2026-03-24T21:23:28+00:00,260,0.15,15
2026-03-24T21:23:29+00:00,261,0.14,14
2026-03-24T21:23:30+00:00,262,0.14,14
2026-03-24T21:23:31+00:00,263,0.13,13
2026-03-24T21:23:32+00:00,264,0.13,13
2026-03-24T21:23:33+00:00,265,0.14,14
2026-03-24T21:23:34+00:00,266,0.16,16
2026-03-24T21:23:35+00:00,267,0.17,17
2026-03-24T21:23:36+00:00,268,0.18,18
2026-03-24T21:23:37+00:00,269,0.18,18
2026-03-24T21:23:38+00:00,270,0.18,18
2026-03-24T21:23:39+00:00,271,0.17,17
2026-03-24T21:23:40+00:00,272,0.18,18
2026-03-24T21:23:41+00:00,273,0.18,18
2026-03-24T21:23:42+00:00,274,0.18,18
2026-03-24T21:23:43+00:00,275,0.18,18
2026-03-24T21:23:44+00:00,276,0.18,18
2026-03-24T21:23:45+00:00,277,0.16,16
2026-03-24T21:23:46+00:00,278,0.15,15
2026-03-24T21:23:47+00:00,279,0.14,14
2026-03-24T21:23:48+00:00,280,0.14,14
2026-03-24T21:23:49+00:00,281,0.14,14
2026-03-24T21:23:50+00:00,282,0.14,14
2026-03-24T21:23:51+00:00,283,0.11,11
2026-03-24T21:23:52+00:00,284,0.11,11
2026-03-24T21:23:53+00:00,285,0.08,8
2026-03-24T21:23:54+00:00,286,0.07,7
2026-03-24T21:23:55+00:00,287,0.07,7
2026-03-24T21:23:56+00:00,288,0.08,8
2026-03-24T21:23:57+00:00,289,0.09,9
2026-03-24T21:24:00+00:00,292,0.09,9
2026-03-24T21:24:01+00:00,293,0.09,9
2026-03-24T21:24:02+00:00,294,0.08,8
2026-03-24T21:24:03+00:00,295,0.09,9
2026-03-24T21:24:04+00:00,296,0.09,9
2026-03-24T21:24:05+00:00,297,0.1,10
2026-03-24T21:24:06+00:00,298,0.09,9
2026-03-24T21:24:07+00:00,299,0.09,9
2026-03-24T21:24:08+00:00,300,0.09,9
2026-03-24T21:24:09+00:00,301,0.09,9
2026-03-24T21:24:10+00:00,302,0.1,10
2026-03-24T21:24:11+00:00,303,0.12,12
2026-03-24T21:24:12+00:00,304,0.14,14
2026-03-24T21:24:13+00:00,305,0.15,15
2026-03-24T21:24:14+00:00,306,0.16,16
2026-03-24T21:24:15+00:00,307,0.16,16
2026-03-24T21:24:16+00:00,308,0.16,16
2026-03-24T21:24:17+00:00,309,0.15,15
2026-03-24T21:24:18+00:00,310,0.15,15
2026-03-24T21:24:19+00:00,311,0.15,15
2026-03-24T21:24:20+00:00,312,0.14,14
2026-03-24T21:24:21+00:00,313,0.13,13
2026-03-24T21:24:22+00:00,314,0.12,12
2026-03-24T21:24:23+00:00,315,0.12,12
2026-03-24T21:24:24+00:00,316,0.1,10
2026-03-24T21:24:25+00:00,317,0.09,9
2026-03-24T21:24:26+00:00,318,0.09,9
2026-03-24T21:24:27+00:00,319,0.09,9
2026-03-24T21:24:28+00:00,320,0.1,10
2026-03-24T21:24:29+00:00,321,0.1,10
2026-03-24T21:24:32+00:00,324,0.11,11
2026-03-24T21:24:33+00:00,325,0.11,11
2026-03-24T21:24:34+00:00,326,0.11,11
2026-03-24T21:24:35+00:00,327,0.11,11
2026-03-24T21:24:36+00:00,328,0.12,12
2026-03-24T21:24:37+00:00,329,0.12,12
2026-03-24T21:24:38+00:00,330,0.12,12
2026-03-24T21:24:39+00:00,331,0.12,12
2026-03-24T21:24:40+00:00,332,0.12,12
2026-03-24T21:24:41+00:00,333,0.12,12
2026-03-24T21:24:42+00:00,334,0.12,12
2026-03-24T21:24:43+00:00,335,0.12,12
2026-03-24T21:24:44+00:00,336,0.12,12
2026-03-24T21:24:45+00:00,337,0.12,12
2026-03-24T21:24:46+00:00,338,0.12,12
2026-03-24T21:24:47+00:00,339,0.13,13
2026-03-24T21:24:48+00:00,340,0.14,14
2026-03-24T21:24:49+00:00,341,0.14,14
2026-03-24T21:24:50+00:00,342,0.14,14
2026-03-24T21:24:51+00:00,343,0.14,14
2026-03-24T21:24:52+00:00,344,0.14,14
2026-03-24T21:24:53+00:00,345,0.14,14
2026-03-24T21:24:54+00:00,346,0.14,14
2026-03-24T21:24:55+00:00,347,0.14,14
2026-03-24T21:24:56+00:00,348,0.14,14
2026-03-24T21:24:57+00:00,349,0.14,14
2026-03-24T21:24:58+00:00,350,0.13,13
2026-03-24T21:24:59+00:00,351,0.13,13
